variavel,n_polygons,k_groups,statistic_H,p_global,eps2_observed,scenario,eps2_base,delta_eps2
altura_dossel,347,4,45.956444349219964,5.793720734487233e-10,0.12523744708227394,S0_no_qc,0.1216608571593653,0.0035765899229086434
agbd,347,4,52.75344510615332,2.0692391972887475e-11,0.14505377581968898,S0_no_qc,0.14008505025609988,0.004968725563589099
pai,347,4,42.87194966945708,2.619982371889431e-9,0.11624475122290694,S0_no_qc,0.10322529747465722,0.013019453748249712
cover,347,4,42.593917697717416,3.00138230124896e-9,0.11543416238401578,S0_no_qc,0.10340355158892788,0.01203061079508791
fhd_normal,347,4,47.270604287798506,3.0441532621547933e-10,0.12906881716559332,S0_no_qc,0.11985644972405371,0.00921236744153961
altura_dossel,342,4,44.12136971986547,1.4221955616939761e-9,0.1216608571593653,S1_baseline,0.1216608571593653,0
agbd,342,4,50.348746986561764,6.733257223939607e-11,0.14008505025609988,S1_baseline,0.14008505025609988,0
pai,342,4,37.89015054643414,2.9819528815961946e-8,0.10322529747465722,S1_baseline,0.10322529747465722,0
cover,342,4,37.950400437057624,2.8956481878608462e-8,0.10340355158892788,S1_baseline,0.10340355158892788,0
fhd_normal,342,4,43.51148000673015,1.9164697515636663e-9,0.11985644972405371,S1_baseline,0.11985644972405371,0
altura_dossel,342,4,44.12136971986547,1.4221955616939761e-9,0.1216608571593653,S_sens080,0.1216608571593653,0
agbd,342,4,50.348746986561764,6.733257223939607e-11,0.14008505025609988,S_sens080,0.14008505025609988,0
pai,342,4,37.89015054643414,2.9819528815961946e-8,0.10322529747465722,S_sens080,0.10322529747465722,0
cover,342,4,37.950400437057624,2.8956481878608462e-8,0.10340355158892788,S_sens080,0.10340355158892788,0
fhd_normal,342,4,43.51148000673015,1.9164697515636663e-9,0.11985644972405371,S_sens080,0.11985644972405371,0
altura_dossel,342,4,44.12136971986547,1.4221955616939761e-9,0.1216608571593653,S_sens090,0.1216608571593653,0
agbd,342,4,50.348746986561764,6.733257223939607e-11,0.14008505025609988,S_sens090,0.14008505025609988,0
pai,342,4,37.89015054643414,2.9819528815961946e-8,0.10322529747465722,S_sens090,0.10322529747465722,0
cover,342,4,37.950400437057624,2.8956481878608462e-8,0.10340355158892788,S_sens090,0.10340355158892788,0
fhd_normal,342,4,43.51148000673015,1.9164697515636663e-9,0.11985644972405371,S_sens090,0.11985644972405371,0
altura_dossel,342,4,45.67756290963689,6.641227862099395e-10,0.12626497902259434,S_sens095,0.1216608571593653,0.0046041218632290465
agbd,342,4,52.94420479971427,1.8842713915304715e-11,0.14776391952578186,S_sens095,0.14008505025609988,0.007678869269681976
pai,342,4,36.11985962782296,7.063911351515992e-8,0.09798775037817445,S_sens095,0.10322529747465722,-0.005237547096482775
cover,342,4,36.14475153947501,6.978819429576275e-8,0.09806139508720417,S_sens095,0.10340355158892788,-0.005342156501723705
fhd_normal,342,4,44.55973930328764,1.1476898792667251e-9,0.1229578085896084,S_sens095,0.11985644972405371,0.003101358865554696
altura_dossel,247,4,30.972837828215575,8.613160962251618e-7,0.1151145589638501,S_sens099,0.1216608571593653,-0.006546298195515193
agbd,247,4,32.52461635110005,4.056959594070371e-7,0.12150047881111131,S_sens099,0.14008505025609988,-0.018584571444988568
pai,247,4,22.60669769139929,4.876966795438711e-5,0.08068599873003823,S_sens099,0.10322529747465722,-0.02253929874461899
cover,247,4,24.0275471176559,2.465135703463871e-5,0.08653311571051811,S_sens099,0.10340355158892788,-0.016870435878409765
fhd_normal,247,4,30.739513045050558,9.644588348175187e-7,0.11415437467098995,S_sens099,0.11985644972405371,-0.005702075053063763
altura_dossel,320,4,41.13817157325889,6.112495709677843e-9,0.12069041637107243,S_strong_beams,0.1216608571593653,-9.704407882928645e-4
agbd,320,4,50.272606204533645,6.989444784542683e-11,0.14959685507763812,S_strong_beams,0.14008505025609988,0.009511804821538239
pai,320,4,41.994220036099364,4.023473851979378e-9,0.12339943049398533,S_strong_beams,0.10322529747465722,0.020174133019328105
cover,320,4,42.34161962711721,3.395267019741312e-9,0.1244987962883456,S_strong_beams,0.10340355158892788,0.02109524469941773
fhd_normal,320,4,44.06625756990536,1.4610561512196608e-9,0.12995651129716887,S_strong_beams,0.11985644972405371,0.01010006157311516
altura_dossel,315,4,40.615059177729336,7.891488916652611e-9,0.12094874333675028,S_night_only,0.1216608571593653,-7.121138226150181e-4
agbd,315,4,40.214381765921985,9.596469124937412e-9,0.11966039153029577,S_night_only,0.14008505025609988,-0.02042465872580411
pai,315,4,30.07114155605734,1.3333124373386102e-6,0.08704547124134193,S_night_only,0.10322529747465722,-0.016179826233315292
cover,315,4,30.226370819769272,1.2367294150682753e-6,0.08754460070665361,S_night_only,0.10340355158892788,-0.015858950882274264
fhd_normal,315,4,40.36553160329288,8.913876842410682e-9,0.12014640386910894,S_night_only,0.11985644972405371,2.8995414505522676e-4
altura_dossel,340,4,38.236764052461695,2.518346527883002e-8,0.10487132158470742,S_agbd_low_uncert,0.1216608571593653,-0.01678953557465787
agbd,340,4,52.75820260566684,2.0644125837454334e-11,0.14808988870734177,S_agbd_low_uncert,0.14008505025609988,0.008004838451241891
pai,340,4,36.42465421857014,6.089638053281162e-8,0.09947813755526827,S_agbd_low_uncert,0.10322529747465722,-0.0037471599193889538
cover,340,4,36.126991233710214,7.03942692621256e-8,0.09859223581461374,S_agbd_low_uncert,0.10340355158892788,-0.004811315774314137
fhd_normal,340,4,38.89330511857676,1.8283864646464588e-8,0.10682531285290703,S_agbd_low_uncert,0.11985644972405371,-0.013031136871146681
